                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                  1.179,                 1.0009,                 1.2381,                0.74016,                0.68464,                0.74106,                0.43029,                 1.3543,                 1.0811,                 1.4161,               0.003466,               0.003466,               0.003466
                     35,                 1.1663,                0.96887,                 1.2151,                0.80609,                 0.6626,                 0.7605,                0.44617,                 1.3023,                 1.0613,                 1.4104,               0.003268,               0.003268,               0.003268
                     36,                 1.1607,                0.94557,                 1.2188,                0.80206,                0.70107,                0.72848,                0.45722,                 1.2834,                 1.0581,                 1.3475,                0.00307,                0.00307,                0.00307
                     37,                 1.1611,                0.96274,                 1.2182,                0.82607,                0.62745,                0.75557,                0.46532,                 1.3274,                 1.0485,                 1.4445,               0.002872,               0.002872,               0.002872
                     38,                 1.1463,                0.93238,                 1.2107,                 0.8187,                0.65858,                0.74494,                0.46131,                 1.3608,                0.97597,                 1.4165,               0.002674,               0.002674,               0.002674
                     39,                 1.1391,                0.92055,                    1.2,                0.78145,                0.69424,                0.76826,                0.46576,                 1.2892,                 1.0046,                 1.3717,               0.002476,               0.002476,               0.002476
                     40,                 1.1261,                0.92379,                 1.1862,                0.83804,                0.60585,                0.73077,                0.43328,                 1.3677,                  1.098,                 1.3955,               0.002278,               0.002278,               0.002278
                     41,                 1.1324,                0.91664,                 1.2006,                0.86453,                0.69009,                0.75772,                  0.477,                 1.3387,                 1.0354,                 1.3888,                0.00208,                0.00208,                0.00208
                     42,                 1.0926,                0.86792,                 1.1796,                 0.8256,                0.64597,                0.75433,                0.44033,                 1.3816,                 1.0234,                 1.4262,               0.001882,               0.001882,               0.001882
                     43,                 1.1026,                0.87779,                 1.1849,                0.73407,                 0.7342,                0.74597,                0.43427,                 1.3791,                 1.0349,                 1.4581,               0.001684,               0.001684,               0.001684
                     44,                 1.1037,                0.86602,                 1.1809,                 0.7857,                0.77124,                0.79232,                0.46651,                 1.3473,                0.94525,                 1.4151,               0.001486,               0.001486,               0.001486
                     45,                 1.0729,                0.85161,                 1.1641,                0.89603,                0.68554,                0.77564,                0.46667,                 1.3492,                0.92953,                 1.4447,               0.001288,               0.001288,               0.001288
                     46,                 1.0814,                 0.8517,                 1.1803,                0.84944,                0.65282,                0.76532,                0.46853,                 1.3607,                 1.0044,                 1.4132,                0.00109,                0.00109,                0.00109
                     47,                  1.083,                0.84412,                 1.1668,                0.84854,                0.68619,                0.75249,                 0.4611,                  1.354,                0.99407,                 1.4176,               0.000892,               0.000892,               0.000892
                     48,                 1.0398,                0.83872,                 1.1532,                  0.886,                0.67157,                0.76092,                0.44111,                 1.4229,                0.98549,                 1.4456,               0.000694,               0.000694,               0.000694
                     49,                 1.0291,                0.81368,                 1.1432,                0.84231,                0.72101,                  0.761,                0.44463,                 1.4061,                0.93358,                 1.4478,               0.000496,               0.000496,               0.000496
