                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.3095,                 1.2172,                 1.3216,                0.78466,                0.76237,                0.76134,                0.44574,                 1.4416,                 1.1393,                 1.4366,               0.003466,               0.003466,               0.003466
                     35,                 1.3191,                 1.2182,                  1.317,                0.79458,                0.64349,                0.72977,                0.43182,                 1.3591,                 1.2079,                 1.3844,               0.003268,               0.003268,               0.003268
                     36,                  1.299,                 1.1847,                 1.3032,                0.86869,                0.65217,                0.75241,                0.46422,                 1.3608,                 1.1388,                 1.4194,                0.00307,                0.00307,                0.00307
                     37,                 1.2954,                 1.1528,                 1.2961,                0.86473,                0.61275,                0.76796,                0.45812,                 1.4315,                 1.1196,                 1.4278,               0.002872,               0.002872,               0.002872
                     38,                 1.2685,                 1.1412,                  1.283,                0.91025,                0.64586,                0.75219,                0.45228,                 1.4165,                  1.161,                 1.3617,               0.002674,               0.002674,               0.002674
                     39,                 1.2507,                 1.1124,                 1.2723,                 0.9003,                0.70358,                0.78921,                0.48499,                 1.3653,                0.98933,                 1.3645,               0.002476,               0.002476,               0.002476
                     40,                 1.2236,                0.98567,                 1.2609,                0.88578,                0.65369,                0.77499,                0.43995,                 1.4288,                 1.1467,                 1.4669,               0.002278,               0.002278,               0.002278
                     41,                  1.213,                0.97116,                 1.2561,                0.95041,                0.69009,                0.78578,                 0.4603,                 1.3916,                 1.1767,                 1.4345,                0.00208,                0.00208,                0.00208
                     42,                  1.204,                0.92174,                 1.2422,                0.85063,                0.66512,                0.78373,                0.44878,                 1.3729,                 1.1156,                 1.4063,               0.001882,               0.001882,               0.001882
                     43,                 1.1723,                0.91627,                 1.2338,                 0.9222,                0.68627,                0.79908,                0.49163,                 1.2976,                 1.0772,                 1.3525,               0.001684,               0.001684,               0.001684
                     44,                 1.1574,                0.89306,                 1.2186,                0.94885,                0.68627,                0.81902,                 0.4889,                  1.325,                  1.035,                  1.377,               0.001486,               0.001486,               0.001486
                     45,                 1.1421,                0.85164,                 1.1996,                 0.8477,                0.65928,                0.78399,                0.47845,                 1.3805,                 1.0486,                 1.3826,               0.001288,               0.001288,               0.001288
                     46,                 1.1207,                0.82767,                 1.1929,                0.75311,                0.78595,                0.81494,                0.48625,                 1.3444,                 1.0597,                 1.4047,                0.00109,                0.00109,                0.00109
                     47,                 1.1213,                0.83144,                 1.2043,                0.81955,                0.74891,                0.81119,                0.51451,                 1.3234,                0.99336,                 1.4094,               0.000892,               0.000892,               0.000892
                     48,                 1.0755,                0.81219,                 1.1669,                0.72813,                0.81155,                0.80562,                0.50535,                 1.3479,                0.99081,                 1.3889,               0.000694,               0.000694,               0.000694
                     49,                 1.0726,                0.79678,                 1.1668,                0.80535,                 0.7892,                0.83064,                0.51661,                 1.3385,                 0.9202,                  1.379,               0.000496,               0.000496,               0.000496
